thresholds,accuracy,f1score
0.13527418673038483,0.934640522875817,0.934640522875817
0.777705729007721,0.934640522875817,0.934640522875817
0.019126564264297485,0.934640522875817,0.934640522875817
0.06334694474935532,0.934640522875817,0.934640522875817
0.8191971778869629,0.934640522875817,0.934640522875817
0.2551068961620331,0.934640522875817,0.934640522875817
0.6655479669570923,0.934640522875817,0.934640522875817
0.852132260799408,0.9313725490196079,0.9313725490196079
0.025196479633450508,0.9313725490196079,0.9313725490196079
0.05287031829357147,0.9313725490196079,0.9313725490196079
0.06751421838998795,0.9313725490196079,0.9313725490196079
0.38952118158340454,0.9313725490196079,0.9313725490196079
0.5877488851547241,0.9313725490196079,0.9313725490196079
0.01448659785091877,0.9281045751633987,0.9281045751633987
0.012605111114680767,0.9248366013071896,0.9248366013071896
0.005780136678367853,0.9215686274509803,0.9215686274509803
0.008539597503840923,0.9215686274509803,0.9215686274509803
0.931462287902832,0.9150326797385621,0.9150326797385621
0.950698733329773,0.9117647058823529,0.9117647058823529
0.002658633515238762,0.9052287581699346,0.9052287581699346
0.0014746877131983638,0.9019607843137255,0.9019607843137255
0.9928404092788696,0.8790849673202614,0.8790849673202614
0.9933670163154602,0.8758169934640523,0.8758169934640523
0.9971471428871155,0.8660130718954249,0.8660130718954249
0.9966102242469788,0.8660130718954249,0.8660130718954249
0.9971672892570496,0.8627450980392157,0.8627450980392157
0.996740996837616,0.8627450980392157,0.8627450980392157
0.9996271133422852,0.8169934640522876,0.8169934640522876
0.9996490478515625,0.8137254901960784,0.8137254901960784
0.9999951124191284,0.7124183006535948,0.7124183006535948
0.999995231628418,0.7091503267973857,0.7091503267973857
0.9999969005584717,0.6928104575163399,0.6928104575163399
0.9999970197677612,0.6895424836601307,0.6895424836601307
0.9999984502792358,0.6699346405228758,0.6699346405228758
0.9999985694885254,0.6666666666666666,0.6666666666666666
0.9999988079071045,0.6568627450980392,0.6568627450980392
0.9999990463256836,0.6535947712418301,0.6535947712418301
0.9999991655349731,0.6470588235294118,0.6470588235294118
0.9999994039535522,0.6372549019607843,0.6372549019607843
0.9999995231628418,0.6339869281045751,0.6339869281045751
0.9999997615814209,0.6045751633986928,0.6045751633986928
0.9999998807907104,0.5751633986928104,0.5751633986928104
1.4935166167396092e-17,0.5032679738562091,0.5032679738562091
1.0,0.5,0.5
2.0,0.5,0.5
