thresholds,accuracy,f1score
0.20687764883041382,0.9869281045751634,0.9869281045751634
0.23850277066230774,0.9836601307189542,0.9836601307189542
0.18349649012088776,0.9836601307189542,0.9836601307189542
0.1326463520526886,0.9803921568627451,0.9803921568627451
0.12884555757045746,0.9803921568627451,0.9803921568627451
0.13056796789169312,0.9771241830065359,0.9771241830065359
0.12092079222202301,0.9771241830065359,0.9771241830065359
0.864869236946106,0.9248366013071896,0.9248366013071896
0.8742116689682007,0.9215686274509803,0.9215686274509803
1.4751043268812492e-12,0.5032679738562091,0.5032679738562091
1.9999903440475464,0.5,0.5
0.9999903440475464,0.5,0.5
